items,freq
['B000ILIJE0'],3574
['B000NWU3I4'],3562
"['B000NWU3I4', 'B000ILIJE0']",3561
['B000PC54NG'],3540
"['B000PC54NG', 'B000ILIJE0']",3539
['B000NWQXBA'],3535
"['B000NWQXBA', 'B000PC54NG']",3535
"['B000NWQXBA', 'B000PC54NG', 'B000ILIJE0']",3535
"['B000NWQXBA', 'B000ILIJE0']",3535
"['B000PC54NG', 'B000NWU3I4']",3534
"['B000PC54NG', 'B000NWU3I4', 'B000ILIJE0']",3533
"['B000NWQXBA', 'B000PC54NG', 'B000NWU3I4']",3529
"['B000NWQXBA', 'B000PC54NG', 'B000NWU3I4', 'B000ILIJE0']",3529
"['B000NWQXBA', 'B000NWU3I4']",3529
"['B000NWQXBA', 'B000NWU3I4', 'B000ILIJE0']",3529
['B000Q032UY'],3511
"['B000Q032UY', 'B000PC54NG']",3511
"['B000Q032UY', 'B000PC54NG', 'B000ILIJE0']",3511
"['B000Q032UY', 'B000NWQXBA']",3511
"['B000Q032UY', 'B000NWQXBA', 'B000PC54NG']",3511
"['B000Q032UY', 'B000NWQXBA', 'B000PC54NG', 'B000ILIJE0']",3511
"['B000Q032UY', 'B000NWQXBA', 'B000ILIJE0']",3511
"['B000Q032UY', 'B000ILIJE0']",3511
['B000H9R1Q0'],3507
"['B000H9R1Q0', 'B000PC54NG']",3507
"['B000H9R1Q0', 'B000PC54NG', 'B000ILIJE0']",3507
"['B000H9R1Q0', 'B000Q032UY']",3507
"['B000H9R1Q0', 'B000Q032UY', 'B000PC54NG']",3507
"['B000H9R1Q0', 'B000Q032UY', 'B000PC54NG', 'B000ILIJE0']",3507
"['B000H9R1Q0', 'B000Q032UY', 'B000NWQXBA']",3507
"['B000H9R1Q0', 'B000Q032UY', 'B000NWQXBA', 'B000PC54NG']",3507
"['B000H9R1Q0', 'B000Q032UY', 'B000NWQXBA', 'B000PC54NG', 'B000ILIJE0']",3507
"['B000H9R1Q0', 'B000Q032UY', 'B000NWQXBA', 'B000ILIJE0']",3507
"['B000H9R1Q0', 'B000Q032UY', 'B000ILIJE0']",3507
"['B000H9R1Q0', 'B000NWQXBA']",3507
"['B000H9R1Q0', 'B000NWQXBA', 'B000PC54NG']",3507
"['B000H9R1Q0', 'B000NWQXBA', 'B000PC54NG', 'B000ILIJE0']",3507
"['B000H9R1Q0', 'B000NWQXBA', 'B000ILIJE0']",3507
"['B000H9R1Q0', 'B000ILIJE0']",3507
"['B000Q032UY', 'B000PC54NG', 'B000NWU3I4']",3505
"['B000Q032UY', 'B000PC54NG', 'B000NWU3I4', 'B000ILIJE0']",3505
"['B000Q032UY', 'B000NWU3I4']",3505
"['B000Q032UY', 'B000NWU3I4', 'B000ILIJE0']",3505
"['B000Q032UY', 'B000NWQXBA', 'B000PC54NG', 'B000NWU3I4']",3505
"['B000Q032UY', 'B000NWQXBA', 'B000PC54NG', 'B000NWU3I4', 'B000ILIJE0']",3505
"['B000Q032UY', 'B000NWQXBA', 'B000NWU3I4']",3505
"['B000Q032UY', 'B000NWQXBA', 'B000NWU3I4', 'B000ILIJE0']",3505
"['B000H9R1Q0', 'B000PC54NG', 'B000NWU3I4']",3501
"['B000H9R1Q0', 'B000PC54NG', 'B000NWU3I4', 'B000ILIJE0']",3501
"['B000H9R1Q0', 'B000Q032UY', 'B000PC54NG', 'B000NWU3I4']",3501
