antecedent,consequent,confidence,lift,support
"['B000GQG5MA', 'B000H9R1Q0', 'B000PC54NG', 'B000NWU3I4', 'B000ILIJE0']",['B000Q032UY'],1.0,87.91683281116491,0.010833365729761952
"['B000Q032UY', 'B000ILIJE0']",['B000PC54NG'],1.0,87.19661016949152,0.011374386087677695
"['B000NDSX6C', 'B000GQG7D2', 'B000H9R1Q0', 'B000NWU3I4']",['B000PC54NG'],1.0,87.19661016949152,0.010292345371846208
"['B000Q032UY', 'B000ILIJE0']",['B000NWQXBA'],1.0,87.31994342291371,0.011374386087677695
"['B000NDSX6C', 'B000H9R1Q0', 'B000NWQXBA', 'B000NWU3I4']",['B000Q032UY'],1.0,87.91683281116491,0.01065518537236455
"['B000GQG5MA', 'B000H9R1Q0', 'B000PC54NG']",['B000ILIJE0'],1.0,86.3670956911024,0.010852803586932577
"['B000NDSX6C', 'B000GQG7D2', 'B000H9R1Q0', 'B000NWU3I4']",['B000Q032UY'],1.0,87.91683281116491,0.010292345371846208
"['B000GQG5MA', 'B000H9R1Q0', 'B000PC54NG']",['B000Q032UY'],1.0,87.91683281116491,0.010852803586932577
"['B000GQG5MA', 'B000Q032UY', 'B000NWQXBA', 'B000PC54NG']",['B000ILIJE0'],1.0,86.3670956911024,0.01086576215837966
"['B000GQG5MA', 'B000H9R1Q0', 'B000PC54NG']",['B000NWQXBA'],1.0,87.31994342291371,0.010852803586932577
"['B000NDSX6C', 'B000GQG7D2', 'B000H9R1Q0', 'B000NWU3I4']",['B000ILIJE0'],1.0,86.3670956911024,0.010292345371846208
"['B000Q032UY', 'B000NWQXBA', 'B000NWU3I4', 'B000ILIJE0']",['B000PC54NG'],1.0,87.19661016949152,0.011354948230507068
"['B000NDSX6C', 'B000H9R1Q0', 'B000NWQXBA', 'B000NWU3I4']",['B000PC54NG'],1.0,87.19661016949152,0.01065518537236455
"['B000NDSX6C', 'B000GQG7D2', 'B000H9R1Q0', 'B000NWU3I4']",['B000NWQXBA'],1.0,87.31994342291371,0.010292345371846208
"['B000NDSX6C', 'B000H9R1Q0', 'B000NWQXBA', 'B000ILIJE0']",['B000Q032UY'],1.0,87.91683281116491,0.010674623229535177
"['B000GQG5MA', 'B000GQG7D2', 'B000H9R1Q0', 'B000Q032UY', 'B000NWQXBA', 'B000ILIJE0']",['B000PC54NG'],1.0,87.19661016949152,0.010473765372105379
"['B000NDSX6C', 'B000H9R1Q0', 'B000NWQXBA', 'B000NWU3I4']",['B000ILIJE0'],1.0,86.3670956911024,0.01065518537236455
"['B000GQG5MA', 'B000H9R1Q0', 'B000NWQXBA', 'B000NWU3I4']",['B000Q032UY'],1.0,87.91683281116491,0.010833365729761952
"['B000NDSX6C', 'B000GQG7D2', 'B000H9R1Q0', 'B000NWQXBA', 'B000PC54NG']",['B000Q032UY'],1.0,87.91683281116491,0.010311783229016833
"['B000GQG5MA', 'B000H9R1Q0', 'B000NWQXBA', 'B000NWU3I4']",['B000PC54NG'],1.0,87.19661016949152,0.010833365729761952
"['B000NDSX6C', 'B000H9R1Q0', 'B000Q032UY', 'B000NWQXBA', 'B000NWU3I4', 'B000ILIJE0']",['B000PC54NG'],1.0,87.19661016949152,0.01065518537236455
